Date,Open,High,Low,Close
4/26/2007,46.42,46.65,46.33,46.44
4/27/2007,46.37,46.70,46.29,46.51
4/30/2007,46.50,46.53,45.92,45.96
5/1/2007,45.97,46.14,45.66,46.07
5/2/2007,46.09,46.58,46.05,46.46
5/3/2007,46.53,46.72,46.43,46.60
5/4/2007,46.77,46.89,46.42,46.62
5/7/2007,46.65,46.78,46.57,46.61
5/8/2007,46.47,46.77,46.30,46.73
5/9/2007,46.49,46.97,46.46,46.84
5/10/2007,46.67,46.78,46.07,46.11
5/11/2007,46.24,46.74,46.18,46.73
5/14/2007,46.77,46.88,46.19,46.45
5/15/2007,46.41,46.70,45.99,46.04
5/16/2007,46.21,46.55,45.91,46.54
5/17/2007,46.50,46.57,46.29,46.34
5/18/2007,46.48,46.70,46.38,46.68
5/21/2007,46.74,47.24,46.67,47.02
5/22/2007,47.04,47.28,46.87,47.14
5/23/2007,47.19,47.37,46.82,46.85
5/24/2007,46.86,47.04,45.97,46.12
5/25/2007,46.26,46.56,46.18,46.46
5/29/2007,46.49,46.86,46.41,46.75
5/30/2007,46.48,47.20,46.35,47.19
5/31/2007,47.32,47.52,47.21,47.44
6/4/2007,47.27,47.64,47.24,47.58
6/5/2007,47.43,47.58,47.00,47.58
6/6/2007,47.37,47.38,46.96,47.11
6/7/2007,46.91,47.21,46.32,46.33
6/8/2007,46.33,46.93,46.16,46.90
6/11/2007,46.89,47.19,46.76,46.82
6/12/2007,46.57,47.04,46.45,46.55
6/13/2007,46.74,47.09,46.54,47.06
6/14/2007,47.10,47.49,47.09,47.36
6/15/2007,47.75,47.87,47.65,47.76
6/18/2007,47.85,47.87,47.67,47.80
6/19/2007,47.63,47.86,47.51,47.77
6/20/2007,47.83,47.92,47.24,47.26
6/21/2007,47.31,47.79,47.08,47.74
6/22/2007,47.64,47.71,47.14,47.32
6/25/2007,47.31,47.58,46.82,47.06
6/26/2007,47.32,47.32,46.74,46.91
6/27/2007,46.74,47.56,46.70,47.55
6/28/2007,47.52,47.85,47.47,47.50
6/29/2007,47.79,47.88,47.21,47.56
7/2/2007,47.71,48.05,47.68,48.03
7/3/2007,48.10,48.32,48.04,48.31
7/5/2007,48.35,48.77,48.29,48.71
7/6/2007,48.71,48.91,48.50,48.87
7/9/2007,48.90,48.98,48.72,48.91
7/10/2007,48.62,48.90,48.43,48.50
7/11/2007,48.37,48.81,48.32,48.80
7/12/2007,49.05,49.67,48.92,49.66
7/13/2007,49.62,49.97,49.57,49.96
7/16/2007,49.90,50.08,49.76,49.86
7/17/2007,49.97,50.30,49.92,50.21
7/18/2007,49.94,50.13,48.93,50.12
7/19/2007,50.41,50.66,50.31,50.42
7/20/2007,50.29,50.36,49.74,50.08
