Date,Open,High,Low,Close
4/25/2007,148.73,149.66,148.16,149.46
4/26/2007,149.49,149.80,149.10,149.39
4/27/2007,149.09,149.74,148.84,149.40
4/30/2007,149.64,149.82,148.21,148.23
5/1/2007,148.42,149.94,147.67,148.61
5/2/2007,148.90,149.95,148.75,149.63
5/3/2007,149.97,150.40,149.05,150.26
5/4/2007,150.75,151.56,150.22,150.65
5/7/2007,150.88,151.20,150.81,150.96
5/8/2007,150.58,150.92,150.13,150.86
5/9/2007,150.64,152.82,150.37,151.38
5/10/2007,150.73,151.02,149.27,149.33
5/11/2007,149.75,150.82,149.72,150.81
5/14/2007,150.86,151.30,149.79,150.55
5/15/2007,150.70,151.66,150.19,150.38
5/16/2007,150.80,151.63,150.38,151.61
5/17/2007,151.38,151.96,151.11,151.44
5/18/2007,152.01,152.50,151.21,152.50
5/21/2007,152.58,157.69,152.50,152.71
5/22/2007,152.70,153.16,152.40,152.60
5/23/2007,152.95,153.50,152.01,152.38
5/24/2007,152.53,153.21,150.74,151.01
5/25/2007,151.49,152.02,151.18,151.86
5/29/2007,151.94,152.50,151.45,152.08
5/30/2007,151.46,153.38,151.34,153.37
5/31/2007,153.66,153.89,153.12,153.35
6/4/2007,153.54,154.39,153.48,154.24
6/5/2007,153.74,153.90,152.86,153.44
6/6/2007,152.91,152.95,151.79,152.10
6/7/2007,151.56,152.50,149.25,149.36
6/8/2007,149.50,151.19,149.09,151.05
6/11/2007,150.93,151.95,150.70,151.30
6/12/2007,150.67,151.54,149.67,149.67
6/13/2007,150.50,151.98,150.19,151.95
6/14/2007,152.06,153.12,152.03,152.71
6/15/2007,153.14,153.66,152.31,153.05
6/18/2007,153.38,153.39,152.66,152.90
6/19/2007,152.55,153.38,152.36,153.20
6/20/2007,153.58,153.79,150.96,151.00
6/21/2007,151.08,152.11,150.25,151.98
6/22/2007,151.52,151.77,149.85,150.24
6/25/2007,150.24,151.25,149.02,149.61
6/26/2007,150.21,150.46,148.82,149.06
6/27/2007,148.13,150.56,148.06,150.55
6/28/2007,150.38,151.42,149.67,150.40
6/29/2007,150.90,151.65,149.15,149.97
7/2/2007,150.87,151.80,150.42,151.80
7/3/2007,152.18,152.50,151.99,152.34
7/5/2007,152.40,152.56,151.63,152.43
7/6/2007,152.38,153.17,151.93,152.95
7/9/2007,153.16,154.20,152.62,153.09
7/10/2007,152.29,152.61,150.87,150.90
7/11/2007,150.75,151.89,150.52,151.84
7/12/2007,152.37,154.75,152.34,154.73
7/13/2007,154.57,155.46,154.39,155.12
7/16/2007,154.99,155.53,154.58,154.90
7/17/2007,154.93,156.00,154.68,154.87
7/18/2007,154.23,154.80,153.30,154.58
7/19/2007,155.20,155.53,154.75,155.21
7/20/2007,154.89,154.99,152.25,153.33
7/23/2007,154.18,154.72,153.36,154.06
7/24/2007,153.12,154.28,150.76,151.12
7/25/2007,152.02,152.39,150.25,151.74
7/26/2007,150.19,150.80,140.72,148.55
7/27/2007,148.21,148.87,145.24,146.02
7/30/2007,145.93,147.81,145.29,147.27
7/31/2007,148.33,149.46,145.39,145.40
8/1/2007,145.18,146.84,143.95,146.62
8/2/2007,146.76,147.97,145.26,147.29
8/3/2007,147.28,147.58,143.24,143.34
8/6/2007,144.21,149.10,142.53,146.77
8/7/2007,145.94,149.00,145.23,147.67
8/8/2007,148.41,150.59,147.34,149.64
8/9/2007,147.43,149.95,145.64,145.72
8/10/2007,144.39,146.50,143.12,145.54
8/13/2007,146.50,146.89,145.28,145.50
8/14/2007,145.70,146.06,142.75,142.76
8/15/2007,142.72,144.46,140.62,140.90
8/16/2007,139.79,141.93,137.00,141.73
8/17/2007,145.50,154.54,141.39,144.74
8/20/2007,145.17,145.47,143.11,144.75
8/21/2007,144.60,145.97,144.14,144.93
8/22/2007,146.01,146.80,145.33,146.66
8/23/2007,147.34,147.65,145.61,146.57
8/24/2007,146.48,148.25,145.40,148.16
8/27/2007,147.85,148.33,146.81,146.92
8/28/2007,146.16,146.25,143.46,143.66
8/29/2007,144.37,146.74,143.96,146.71
8/30/2007,145.45,147.19,145.31,146.14
8/31/2007,147.65,148.50,146.83,147.47
9/4/2007,147.48,149.98,147.40,149.23
9/5/2007,148.20,148.36,147.00,147.56
9/6/2007,147.95,148.61,147.12,148.27
9/7/2007,146.49,146.89,145.26,145.84
9/10/2007,146.54,147.77,144.33,145.51
9/11/2007,146.23,147.70,146.13,147.64
9/12/2007,147.29,148.44,146.98,147.64
9/13/2007,148.55,149.45,148.20,148.81
9/14/2007,147.97,149.09,147.74,148.92
9/17/2007,148.31,148.89,147.63,148.13
9/18/2007,148.83,152.50,148.13,152.40
9/19/2007,153.44,154.39,148.10,153.37
9/20/2007,153.34,153.43,152.11,152.33
9/21/2007,152.71,153.12,151.74,152.27
9/24/2007,152.24,152.82,151.36,151.55
9/25/2007,151.27,151.69,150.47,151.63
9/26/2007,152.06,152.77,151.39,152.37
9/27/2007,152.97,153.08,152.19,152.95
9/28/2007,152.59,153.19,151.98,152.47
10/1/2007,152.75,154.75,152.29,154.52
10/2/2007,154.35,154.68,153.81,154.43
10/3/2007,153.97,154.41,153.01,153.80
10/4/2007,154.09,154.26,153.59,154.16
10/5/2007,154.38,156.10,153.79,155.60
10/8/2007,155.39,155.54,154.77,155.19
10/9/2007,155.32,156.44,155.03,156.41
10/10/2007,156.17,156.48,155.41,156.03
10/11/2007,156.84,157.52,154.54,155.34
10/12/2007,155.01,156.23,154.99,156.05
10/15/2007,156.45,156.46,153.94,154.83
10/16/2007,154.11,156.48,153.47,153.76
10/17/2007,154.61,155.16,152.47,154.03
10/18/2007,154.15,154.50,153.08,153.82
10/19/2007,152.96,156.48,149.90,149.97
10/22/2007,149.25,150.76,148.50,150.59
10/23/2007,151.10,151.95,150.25,151.95
10/24/2007,150.88,151.76,148.00,151.56
10/25/2007,151.39,152.29,149.88,151.31
10/26/2007,151.63,153.50,151.53,153.45
10/29/2007,154.05,154.44,153.55,154.00
10/30/2007,153.77,153.77,152.87,153.06
10/31/2007,153.28,155.27,152.84,154.80
11/1/2007,154.50,154.65,150.59,150.78
11/2/2007,151.01,152.00,149.21,151.12
11/5/2007,150.13,151.16,148.00,150.19
11/6/2007,150.47,152.10,149.50,152.09
11/7/2007,151.33,151.75,147.55,147.58
11/8/2007,147.88,149.30,145.07,147.53
11/9/2007,147.54,147.54,144.89,145.27
11/12/2007,145.42,146.61,143.93,143.99
11/13/2007,144.53,148.31,144.53,148.20
11/14/2007,148.27,149.41,146.78,147.10
11/15/2007,146.82,147.49,144.38,145.35
11/16/2007,145.50,146.49,144.57,146.04
11/19/2007,145.93,148.70,143.19,143.54
11/20/2007,144.34,145.53,142.11,144.20
11/21/2007,143.44,144.19,141.74,141.81
11/23/2007,142.71,144.34,142.10,143.93
11/26/2007,145.20,145.20,140.78,140.80
11/27/2007,142.37,143.23,140.95,143.09
11/28/2007,142.62,147.47,142.50,147.25
11/29/2007,146.62,147.72,143.32,147.27
11/30/2007,148.01,149.87,147.12,148.44
12/3/2007,148.18,148.71,147.29,147.55
12/4/2007,147.21,147.34,146.31,146.56
12/5/2007,147.26,149.20,146.76,148.86
12/6/2007,149.10,151.21,148.38,151.11
12/7/2007,150.63,151.68,150.33,150.74
12/10/2007,150.50,152.25,150.50,152.03
12/11/2007,152.46,152.89,147.96,148.23
12/12/2007,149.27,152.00,147.19,149.16
12/13/2007,148.60,149.39,147.30,149.31
12/14/2007,148.99,149.10,147.00,147.18
12/17/2007,146.08,147.05,144.94,145.07
12/18/2007,145.70,146.57,143.96,145.82
12/19/2007,145.62,147.75,144.94,145.62
12/20/2007,146.17,146.88,145.18,146.53
12/21/2007,147.11,148.27,146.91,148.19
12/24/2007,148.35,149.48,148.22,149.20
12/26/2007,149.41,149.62,148.50,149.46
12/27/2007,149.41,149.63,147.32,147.52
12/28/2007,148.18,148.98,146.90,147.55
12/31/2007,147.72,147.75,146.25,146.42
1/2/2008,146.89,147.15,143.88,144.55
1/3/2008,144.73,145.49,144.12,144.46
1/4/2008,145.31,145.34,140.92,140.93
1/7/2008,141.74,142.29,140.10,141.46
1/8/2008,141.89,142.90,138.63,138.81
1/9/2008,139.36,140.79,137.70,140.78
1/10/2008,140.03,142.80,139.37,141.80
1/11/2008,140.60,141.90,139.00,140.01
1/14/2008,140.42,141.92,140.15,141.46
1/15/2008,140.71,140.99,137.90,137.95
1/16/2008,137.10,139.12,136.28,137.15
1/17/2008,137.65,138.00,132.93,133.23
1/18/2008,134.02,135.51,113.65,132.49
1/22/2008,125.74,132.25,124.90,131.02
