Date,Open,High,Low,Close
5/1/2007,24.49,24.54,24.34,24.52
5/2/2007,24.58,24.78,24.56,24.72
5/3/2007,24.80,24.93,24.70,24.88
5/4/2007,25.00,25.03,24.87,24.97
5/7/2007,24.95,25.04,24.93,25.01
5/8/2007,24.90,25.09,24.88,25.07
5/9/2007,24.95,25.18,24.90,25.11
5/10/2007,25.04,25.16,24.83,24.85
5/11/2007,24.87,25.19,24.87,25.19
5/14/2007,25.26,25.26,24.98,25.11
5/15/2007,25.10,25.26,24.97,24.98
5/16/2007,25.07,25.25,24.96,25.25
5/17/2007,25.25,25.29,25.13,25.18
5/18/2007,25.27,25.32,25.04,25.32
5/21/2007,25.37,25.55,25.29,25.41
5/22/2007,25.15,25.55,25.15,25.47
5/23/2007,25.46,25.52,25.30,25.31
5/24/2007,25.24,25.39,24.89,24.94
5/25/2007,25.03,25.21,24.98,25.18
5/29/2007,25.17,25.39,25.15,25.29
5/30/2007,25.15,25.56,25.07,25.56
5/31/2007,25.63,25.70,25.56,25.64
6/4/2007,25.57,25.75,25.56,25.71
6/5/2007,25.61,25.69,25.49,25.66
6/6/2007,25.54,25.57,25.36,25.43
6/7/2007,25.31,25.46,25.00,25.02
6/8/2007,24.95,25.39,24.95,25.38
6/11/2007,25.32,25.47,25.30,25.31
6/12/2007,25.21,25.39,25.07,25.09
6/13/2007,25.20,25.41,25.10,25.41
6/14/2007,25.39,25.67,25.39,25.59
6/15/2007,25.78,25.88,25.73,25.78
6/18/2007,25.94,25.94,25.72,25.82
6/19/2007,25.70,25.89,25.69,25.84
6/20/2007,25.95,25.95,25.55,25.56
6/21/2007,25.53,25.83,25.48,25.79
6/22/2007,25.55,25.79,25.43,25.49
6/25/2007,25.54,25.71,25.31,25.41
6/26/2007,25.59,25.59,25.28,25.36
6/27/2007,25.28,25.66,25.22,25.64
6/28/2007,25.61,25.83,25.61,25.69
6/29/2007,25.78,25.85,25.43,25.61
7/2/2007,25.68,25.86,25.68,25.86
7/3/2007,25.90,26.06,25.89,26.00
7/5/2007,26.04,26.83,25.97,26.15
7/6/2007,26.14,26.25,26.07,26.21
7/9/2007,26.20,26.25,26.12,26.22
7/10/2007,26.05,26.23,25.95,25.96
7/11/2007,25.96,26.20,25.88,26.12
7/12/2007,26.21,26.66,26.19,26.66
7/13/2007,26.63,26.99,26.54,26.63
7/16/2007,26.62,26.79,26.55,26.71
7/17/2007,26.72,26.93,26.70,26.84
7/18/2007,26.62,26.69,26.38,26.64
7/19/2007,26.92,27.02,26.85,26.94
7/20/2007,26.82,26.86,26.56,26.67
7/23/2007,26.83,26.94,26.75,26.77
7/24/2007,26.55,26.85,24.68,26.47
7/25/2007,26.57,26.80,26.05,26.48
7/26/2007,26.60,26.60,25.75,26.18
7/27/2007,26.09,26.21,25.71,25.71
7/30/2007,25.75,25.91,25.57,25.84
7/31/2007,26.10,26.10,25.43,25.43
8/1/2007,25.57,26.27,25.26,25.72
8/2/2007,25.78,26.05,25.72,25.93
8/3/2007,25.91,25.96,25.35,25.35
8/6/2007,25.52,25.72,25.29,25.69
8/7/2007,25.68,25.95,25.38,25.71
8/8/2007,25.98,26.17,25.86,26.04
8/9/2007,25.84,26.40,25.44,25.44
8/10/2007,25.23,25.54,24.93,25.34
8/13/2007,25.60,25.68,25.43,25.52
8/14/2007,25.61,25.65,25.06,25.07
8/15/2007,25.05,25.25,24.63,24.67
8/16/2007,24.57,24.67,23.90,24.50
8/17/2007,25.22,25.23,24.57,24.96
8/20/2007,25.03,25.08,24.79,24.94
8/21/2007,24.84,25.21,24.84,25.10
8/22/2007,25.33,25.39,25.19,25.38
8/23/2007,25.45,25.50,25.26,25.46
8/24/2007,25.40,25.80,25.34,25.80
8/27/2007,25.63,25.78,25.63,25.66
8/28/2007,25.52,25.54,25.06,25.09
8/29/2007,25.25,25.77,25.25,25.74
8/30/2007,25.60,26.05,25.42,25.79
8/31/2007,26.15,26.15,25.88,26.02
9/4/2007,26.08,26.61,26.04,26.45
9/5/2007,26.34,26.37,26.06,26.17
9/6/2007,26.26,26.31,26.07,26.24
9/7/2007,25.88,25.95,25.60,25.72
9/10/2007,25.92,26.00,25.56,25.71
9/11/2007,25.86,26.16,25.85,26.13
9/12/2007,26.00,26.22,25.94,25.98
9/13/2007,26.14,26.15,25.97,26.01
9/14/2007,25.78,25.99,25.78,25.94
9/17/2007,25.86,25.98,25.76,25.85
9/18/2007,26.08,26.38,25.65,26.32
9/19/2007,26.52,26.62,26.37,26.47
9/20/2007,26.43,26.66,26.43,26.50
9/21/2007,26.62,26.77,26.60,26.67
9/24/2007,26.77,26.97,26.66,26.70
9/25/2007,26.66,27.00,26.60,27.00
9/26/2007,27.02,27.36,26.95,27.04
9/27/2007,27.55,27.55,27.02,27.07
9/28/2007,27.37,27.37,26.91,27.00
10/1/2007,26.90,27.37,26.90,27.33
10/2/2007,27.33,27.47,27.23,27.33
10/3/2007,27.22,27.30,27.00,27.08
10/4/2007,27.17,27.17,26.97,27.09
10/5/2007,27.89,27.89,27.21,27.41
10/8/2007,27.38,27.56,27.36,27.55
10/9/2007,27.50,27.71,27.49,27.71
10/10/2007,27.75,27.98,27.63,27.72
10/11/2007,27.86,28.01,27.26,27.44
10/12/2007,27.51,27.74,27.47,27.71
10/15/2007,27.42,27.78,27.36,27.52
10/16/2007,27.25,27.60,27.25,27.42
10/17/2007,27.87,28.15,27.41,27.77
10/18/2007,27.69,27.84,27.59,27.77
10/19/2007,27.81,27.82,27.09,27.14
10/22/2007,26.80,27.35,26.80,27.34
10/23/2007,27.65,27.72,27.38,27.72
10/24/2007,27.71,27.75,26.86,27.42
10/25/2007,27.52,27.59,27.13,27.32
10/26/2007,27.85,28.48,27.68,27.88
10/29/2007,28.02,28.11,27.91,28.01
10/30/2007,28.00,28.18,27.85,28.09
10/31/2007,28.35,28.59,28.11,28.49
11/1/2007,28.60,28.60,27.95,27.97
11/2/2007,28.12,28.39,27.83,28.18
11/5/2007,28.03,28.23,26.00,28.07
11/6/2007,28.38,28.53,27.89,28.28
11/7/2007,27.90,28.16,27.52,27.54
11/8/2007,27.10,27.40,26.27,26.66
11/9/2007,26.05,26.41,25.58,25.96
11/12/2007,25.82,26.13,25.50,25.59
11/13/2007,25.90,26.55,25.88,26.54
11/14/2007,26.89,27.00,26.08,26.16
11/15/2007,25.98,26.32,25.85,26.00
11/16/2007,25.90,26.37,25.90,26.31
11/19/2007,26.31,26.32,25.77,25.87
11/20/2007,26.29,26.29,25.54,25.98
11/21/2007,25.95,26.02,25.43,25.57
11/23/2007,25.55,25.90,25.55,25.78
11/26/2007,26.08,26.08,25.19,25.22
11/27/2007,25.60,25.67,25.21,25.57
11/28/2007,26.25,26.41,25.82,26.32
11/29/2007,26.39,26.53,26.23,26.45
11/30/2007,26.75,27.71,26.03,26.28
12/3/2007,26.26,26.37,26.05,26.08
12/4/2007,26.09,26.22,25.80,25.99
12/5/2007,26.44,26.65,26.26,26.60
12/6/2007,26.79,26.96,26.55,26.93
12/7/2007,26.98,27.26,26.82,26.92
12/10/2007,27.15,27.39,26.89,27.05
12/11/2007,27.37,27.63,26.61,26.61
12/12/2007,27.19,27.35,26.66,27.05
12/13/2007,27.05,27.10,26.82,27.04
12/14/2007,26.97,27.06,26.72,26.77
12/17/2007,26.53,26.70,26.17,26.19
12/18/2007,26.50,26.50,26.02,26.32
12/19/2007,26.46,26.47,26.17,26.30
12/20/2007,26.76,26.80,26.47,26.73
12/21/2007,27.40,27.40,26.84,27.04
12/24/2007,27.50,27.50,27.02,27.22
12/26/2007,27.20,27.43,27.08,27.31
12/27/2007,27.40,27.40,26.89,26.96
12/28/2007,27.41,27.41,26.79,26.93
12/31/2007,26.99,26.99,26.58,26.59
1/2/2008,26.66,26.72,25.97,26.10
1/3/2008,26.21,26.29,25.94,26.08
1/4/2008,26.03,26.03,25.00,25.07
1/7/2008,25.00,25.27,24.65,24.97
1/8/2008,25.03,25.25,24.20,24.21
1/9/2008,24.10,24.64,24.05,24.63
1/10/2008,24.36,24.92,24.17,24.76
1/11/2008,24.50,24.99,24.08,24.23
1/14/2008,24.90,25.63,24.55,24.80
1/15/2008,24.58,24.63,24.19,24.19
1/16/2008,23.99,24.17,23.57,23.77
1/17/2008,23.82,24.03,23.31,23.42
1/18/2008,24.39,24.39,23.10,23.24
1/22/2008,22.03,22.88,19.76,22.62
1/23/2008,22.00,22.66,21.31,22.60
1/24/2008,22.87,23.16,22.67,23.13
1/25/2008,23.70,23.89,22.76,22.81
1/28/2008,22.75,22.99,22.57,22.99
1/29/2008,23.28,23.28,22.82,23.15
1/30/2008,22.95,23.50,22.95,23.09
1/31/2008,22.58,23.55,22.58,23.30
2/1/2008,24.00,24.00,23.23,23.58
2/4/2008,23.69,23.69,23.25,23.25
2/5/2008,23.12,23.12,22.51,22.55
2/6/2008,22.61,22.79,22.21,22.25
2/7/2008,22.33,22.52,21.86,22.23
2/8/2008,22.20,22.53,22.18,22.40
2/11/2008,22.42,22.75,22.38,22.65
2/12/2008,22.98,22.98,22.56,22.74
2/13/2008,22.85,23.35,22.61,23.30
2/14/2008,23.42,23.42,22.80,22.81
2/15/2008,22.56,22.82,22.56,22.72
2/19/2008,22.76,22.99,22.24,22.33
2/20/2008,22.45,22.61,22.12,22.53
2/21/2008,22.99,22.99,22.24,22.35
2/22/2008,22.50,22.50,22.03,22.48
2/25/2008,22.41,22.69,22.31,22.63
2/26/2008,22.53,22.96,22.38,22.82
2/27/2008,22.82,23.05,22.55,22.88
2/28/2008,22.88,23.03,22.70,22.84
2/29/2008,22.49,22.64,22.16,22.22
3/3/2008,22.15,22.25,21.94,22.14
3/4/2008,22.20,22.22,21.73,22.18
3/5/2008,22.35,22.52,22.13,22.38
3/6/2008,22.43,22.43,21.93,21.96
3/7/2008,22.02,22.25,21.69,21.99
3/10/2008,21.96,22.08,21.71,21.74
3/11/2008,22.14,22.48,21.86,22.48
3/12/2008,22.60,22.67,22.26,22.29
3/13/2008,22.00,22.52,21.84,22.32
3/14/2008,22.39,22.51,21.71,21.92
3/17/2008,21.18,22.11,21.11,21.88
3/18/2008,22.37,22.73,22.04,22.71
3/19/2008,22.75,22.79,22.12,22.12
3/20/2008,22.15,22.54,22.03,22.48
3/24/2008,22.77,23.30,22.67,23.12
3/25/2008,23.29,23.29,22.97,23.20
3/26/2008,23.30,23.30,22.79,22.92
3/27/2008,22.80,22.88,22.46,22.46
3/28/2008,22.72,22.80,22.34,22.41
3/31/2008,22.45,22.69,22.36,22.56
4/1/2008,22.50,23.35,22.50,23.33
4/2/2008,23.15,23.54,23.09,23.25
4/3/2008,23.00,23.40,22.95,23.27
4/4/2008,23.41,23.45,23.07,23.28
4/7/2008,23.44,23.52,23.21,23.24
4/8/2008,23.27,23.27,22.98,23.08
4/9/2008,23.14,23.15,22.77,22.93
4/10/2008,22.97,23.36,22.97,23.22
4/11/2008,22.90,23.02,22.55,22.60
4/14/2008,22.56,22.74,22.47,22.50
4/15/2008,22.06,22.62,22.06,22.52
4/16/2008,23.03,23.18,22.77,23.13
4/17/2008,23.20,23.23,23.00,23.17
4/18/2008,23.80,24.00,23.63,23.83
4/21/2008,23.76,24.01,23.70,23.99
4/22/2008,23.93,23.94,23.60,23.75
4/23/2008,23.87,24.16,23.84,24.08
4/24/2008,24.21,24.57,23.95,24.35
4/25/2008,24.32,24.39,23.82,24.15
4/28/2008,24.23,24.45,24.03,24.06
4/29/2008,24.06,24.31,24.01,24.21
4/30/2008,24.30,24.48,24.01,24.04
5/1/2008,24.03,24.84,24.03,24.83
5/2/2008,25.25,25.59,24.58,24.79
5/5/2008,24.76,24.89,24.58,24.68
5/6/2008,24.57,25.02,24.46,24.89
5/7/2008,24.92,25.04,24.43,24.49
5/8/2008,24.64,24.76,24.47,24.65
5/9/2008,24.40,24.63,24.29,24.50
5/12/2008,24.60,24.90,24.52,24.84
5/13/2008,24.78,24.92,24.68,24.85
5/14/2008,25.09,25.31,24.94,24.96
5/15/2008,24.97,25.48,24.94,25.43
5/16/2008,25.50,25.50,25.15,25.45
5/19/2008,25.48,25.69,25.26,25.37
5/20/2008,25.16,25.25,24.84,24.96
5/21/2008,25.01,25.10,24.44,24.53
5/22/2008,24.40,24.77,24.40,24.60
5/23/2008,24.50,24.60,24.31,24.46
5/27/2008,24.44,24.92,24.44,24.86
