[2025-07-11 15:04:41] Wave1 | rsi5_lt_20 | Sharpe=0.633 | Trades=460
[2025-07-11 15:04:41] Wave1 | rsi5_lt_25 | Sharpe=0.622 | Trades=635
[2025-07-11 15:04:41] Wave1 | close_lt_sma5 | Sharpe=0.591 | Trades=1864
[2025-07-11 15:06:32] Wave2 | rsi4_lt_30 | Sharpe=0.708 | Trades=983
[2025-07-11 15:06:32] Wave2 | rsi3_lt_30 | Sharpe=0.657 | Trades=1179
[2025-07-11 15:06:32] Wave2 | rsi5_lt_20 | Sharpe=0.633 | Trades=460
[2025-07-11 15:07:47] Wave3 | gap_down_lt_-0.000 | Sharpe=1.001 | Trades=1994
[2025-07-11 15:07:47] Wave3 | gap_down_lt_-0.002 | Sharpe=0.807 | Trades=1121
[2025-07-11 15:07:47] Wave3 | gap_down_lt_-0.005 | Sharpe=0.712 | Trades=506
[2025-07-11 15:09:26] Wave4 | gap_norm10_lt_-0.00 | Sharpe=1.006 | Trades=1991
[2025-07-11 15:09:26] Wave4 | gap_norm5_lt_-0.00 | Sharpe=1.001 | Trades=1992
[2025-07-11 15:09:26] Wave4 | close_gt_q70_100 | Sharpe=0.659 | Trades=2735
[2025-07-11 15:10:34] Wave5 | gap_norm10_lt_-0.00 | Sharpe=1.006 | Trades=1991
[2025-07-11 15:10:34] Wave5 | gap_norm5_lt_-0.00 | Sharpe=1.001 | Trades=1992
[2025-07-11 15:10:34] Wave5 | gap_norm5_lt_-0.05 | Sharpe=0.962 | Trades=1660
[2025-07-11 15:11:59] Wave6 | weekday_le_3 | Sharpe=0.706 | Trades=3618
[2025-07-11 15:11:59] Wave6 | day_ge_3 | Sharpe=0.682 | Trades=4242
[2025-07-11 15:11:59] Wave6 | weekday_le_2 | Sharpe=0.681 | Trades=2705
[2025-07-11 15:13:27] Wave7 | cum4_lt_-1bp | Sharpe=0.538 | Trades=1174
[2025-07-11 15:13:27] Wave7 | cum3_lt_-1bp | Sharpe=0.465 | Trades=1123
[2025-07-11 15:13:27] Wave7 | cum6_lt_-1bp | Sharpe=0.461 | Trades=1229
[2025-07-11 15:14:27] Wave8 | close_lt_clomin5_m010 | Sharpe=0.704 | Trades=2117
[2025-07-11 15:14:27] Wave8 | close_lt_clomin5_m005 | Sharpe=0.696 | Trades=1516
[2025-07-11 15:14:27] Wave8 | open_lt_clomin5_m010 | Sharpe=0.648 | Trades=1971
